"","p_ab_c_ab","p_ab_c_mean","p_ab_neg_c_ab","p_ab_neg_c_mean","p_boot_c_ab","p_boot_c_mean","p_boot_neg_c_ab","p_boot_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","boot_ab","X2.5.","X97.5.","X0.","X25.","X50.","X75.","X100.","J","a","b","boottype","c_p","mc.cores","n_j","niter","nperms","nreps","optimizer","permtype","reform","save_dir","simtype","simulation_name","theta_ab"
"1",0.4764,0.4664,0.4604,0.4704,0.4664,0.4568,0.448,0.4604,0.4604,0,4,-0.00116385248151065,-0.00155748363473095,-0.0306825898908279,0.0278243451215194,-0.0566552145431005,-0.0107857011319439,-0.00141980315356064,0.00758240326561374,0.0630271820572216,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"2",0.0348,0.1652,0.4976,0.1688,0.1652,0.5072,0.8372,0.4976,0.5024,0,0,-0.0128260045744733,8.50527833148848e-05,-0.0271949036294908,0.0276404563099886,-0.0479555924482195,-0.00867138703471611,-7.89821948373437e-05,0.00909312892817777,0.0511055408121001,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"3",0.9844,0.884,0.5432,0.8796,0.884,0.5452,0.172,0.5432,0.4568,0,0,0.0193370969085828,0.00176470331647044,-0.0324762127055072,0.0357424136547106,-0.0596787712953981,-0.00888218347518632,0.00169139066673105,0.0129880457955532,0.066804834348854,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"4",0.048,0.1892,0.4848,0.196,0.1892,0.484,0.786,0.4848,0.4848,0,0,-0.0180151629962928,-0.000937598001036261,-0.0439834578976964,0.0412401190548043,-0.0872167522435584,-0.0149766397023301,-0.0009488899030774,0.0125527597032189,0.0856630544466728,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"5",0.6628,0.606,0.538,0.6016,0.606,0.5388,0.4832,0.538,0.462,0,0,0.00492835181981622,0.00203809258141757,-0.0360168104921769,0.0416690782074733,-0.0851060409395958,-0.0106673404418007,0.00200596116080174,0.0143113767063675,0.0891702311761109,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"6",0.9924,0.9132,0.4976,0.908,0.9132,0.5016,0.0864,0.4976,0.4976,0,26,0.0227986594031707,-3.94638878858929e-06,-0.0340001578801105,0.0340631475211853,-0.0675364803263184,-0.0114460510911989,-7.76158177481959e-05,0.0112975019218955,0.0743400590380136,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"7",0.9432,0.8124,0.5392,0.8056,0.8124,0.5572,0.254,0.5392,0.4608,0,0,0.0160050967143568,0.00224943063635103,-0.0338862820118064,0.0399758292474149,-0.0708914163750297,-0.0102269548329357,0.00163146969185151,0.0139580756408086,0.0792815829269105,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"8",0.7932,0.6804,0.5352,0.6764,0.6804,0.5404,0.394,0.5352,0.4648,0,0,0.00911845108527515,0.00187735351264875,-0.0374109899535997,0.0430771497204142,-0.0758766312592273,-0.0119968377076782,0.00150319906024261,0.0155904419542024,0.086087861635868,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"9",0.9964,0.9332,0.5864,0.9396,0.9332,0.5868,0.128,0.5864,0.4136,0,0,0.0289574544396944,0.0038714584611516,-0.0341664716540342,0.0424596555957885,-0.0694451454682248,-0.00845801694621124,0.00385591625089755,0.0156405277819552,0.0766304552864606,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"10",0.2752,0.3828,0.4864,0.3732,0.3828,0.4916,0.5952,0.4864,0.4864,0,0,-0.00641576538658671,-0.000561507598301312,-0.0453818159129591,0.0427120055444177,-0.0880760649606472,-0.0145929196262783,-0.000661780225645486,0.0137667171728239,0.0894615756479524,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
