"","p_ab_perm_mean_c","p_ab_perm_ab_c","p_opsign_ci","n_conv_warn","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","save_dir","simulation_name","theta_ab"
"1",1,1,0,0,0.0648065709375503,0.0656423513031157,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"2",1,1,0,0,0.0823091849841362,0.0824784992727312,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"3",1,1,0,0,0.133574327109758,0.114702297219666,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"4",1,1,0,0,0.0729794983373116,0.0811462926720492,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"5",1,1,0,0,0.0835120536242975,0.0807817315930452,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"6",1,1,0,0,0.199409656008213,0.198656364350486,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"7",1,1,0,0,0.0939772455759301,0.0962824233186259,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"8",1,1,0,0,0.139640428834868,0.139386377283016,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"9",1,1,0,0,0.112061333382823,0.120581875911239,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"10",1,1,0,0,0.074600675251896,0.0796988461666188,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"11",1,1,0,0,0.113832944604724,0.0984971284287396,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"12",1,1,0,0,0.141004641992092,0.149346930858486,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"13",1,1,0,0,0.0852318043271939,0.0763822693030905,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"14",0.9984,0.998,8e-04,0,0.0484237037074775,0.0490425263182804,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"15",1,1,0,0,0.0905358532681752,0.0867354278429868,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"16",0.9972,0.9852,0,0,0.054329520570672,0.0686530135233379,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"17",1,1,0,0,0.119242044810275,0.117398033473033,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"18",1,1,0,0,0.109682961145522,0.0984012333729047,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"19",1,1,0,0,0.0966492378088749,0.0935755295587413,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"20",1,0.9976,0,0,0.084650890570987,0.109653016142818,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"21",1,1,0,0,0.0717262239571409,0.0712681478624453,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"22",1,1,0,0,0.0886781217360185,0.0768305728756944,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"23",1,1,0,0,0.133880109826146,0.123912254966736,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"24",1,1,0,0,0.185028973455104,0.190968267101407,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"25",1,1,0,0,0.124892759160287,0.125457760021539,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"26",1,1,0,0,0.120461076222612,0.11107548321763,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"27",1,1,0,0,0.106733671561844,0.108232156399084,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"28",1,1,0,0,0.0978088528329191,0.0917248601612883,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"29",1,1,0,0,0.124027059077728,0.133102854335577,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"30",0.9988,0.9988,8e-04,0,0.0580343874426117,0.0586964487826825,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"31",1,1,0,0,0.135736430463745,0.134386985983174,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"32",1,1,0,0,0.0771951357719311,0.0893311181243069,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"33",1,1,0,0,0.110587090406903,0.110191167845803,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"34",1,1,0,0,0.104571678078201,0.0983754428080562,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"35",1,1,0,0,0.0721187222948497,0.0591577977018234,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"36",0.9996,0.9992,0,0,0.0741918897102612,0.0848697358978838,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"37",1,1,0,0,0.0904092474407839,0.0978719107056939,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"38",1,1,0,0,0.10459620974146,0.0932731461842328,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"39",1,1,0,0,0.0799998341983824,0.075648607426571,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"40",0.9984,0.9976,4e-04,0,0.0573709044711262,0.0606342164360594,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"41",1,1,0,0,0.119714503594096,0.11102828858375,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"42",1,1,0,0,0.120955743334463,0.114558340076916,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"43",0.9996,0.9992,0,0,0.0832064241081636,0.0971798438358204,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"44",1,1,0,0,0.128522790511933,0.125570080038416,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"45",1,1,0,0,0.12539622778164,0.107461932327121,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"46",1,1,0,0,0.0779914168208802,0.07891745452013,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"47",1,1,0,0,0.0885725023138669,0.0933194028663367,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"48",1,1,0,0,0.0967975967435663,0.0990422757232505,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"49",1,1,8e-04,0,0.0540289366559271,0.0441928539820362,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"50",1,1,0,0,0.197553142626457,0.212120971364658,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
"51",0.968,0.9076,0.012,0,0.0366535613667272,0.0460163542526281,100,0.5,0.2,0,24,10,2500,500,"bobyqa","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/test/","pmjob_06",0.2
