"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","reform","save_dir","simulation_name","theta_ab"
"1",0.9864,0.986,0.99,0.99,0.01,0,2302,0.0654250699365447,0.06456674899155,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"2",0.9108,0.9272,0.9556,0.9372,0.0444,0,2364,0.0506870141538377,0.0558532941098564,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"3",0.9996,0.9956,0.9628,0.996,0.0372,0,2393,0.0789655455879515,0.0527325991080143,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"4",0.9968,0.8884,0.2924,0.8812,0.7076,0,2399,0.0316473665906627,-0.014255017664334,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"5",0.8988,0.822,0.7148,0.832,0.2852,0,2305,0.0283431273323469,0.0168351161133799,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"6",0.5564,0.3788,0.2244,0.3952,0.2244,0,2364,-0.0096013592373887,-0.0246604909508104,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"7",0.0384,0.2712,0.708,0.2684,0.708,0,2317,-0.0174546652802054,0.0154395956292831,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"8",0.2436,0.138,0.06,0.1392,0.06,0,2390,-0.0341966832843858,-0.0474666199129903,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"9",0.0012,0.0148,0.0608,0.0144,0.0608,0,2370,-0.0649706166361324,-0.0453088276648341,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"10",0.7348,0.7132,0.6868,0.71,0.3132,0,2399,0.0179906779110393,0.0159872705456658,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"11",0.0076,0.0372,0.1244,0.0376,0.1244,0,2374,-0.0545299792320241,-0.035988966557319,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"12",0.5724,0.3988,0.2412,0.4036,0.2412,0,2337,-0.00857126112523542,-0.0238586906718598,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"13",1,1,1,1,0,0,2375,0.127494147640535,0.118873290357242,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"14",0.7252,0.8612,0.9464,0.8644,0.0536,0,2364,0.0395495473126251,0.0578935497281355,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"15",1,0.9996,0.9996,1,4e-04,0,2379,0.11080892834307,0.0963527012957593,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"16",0.918,0.9904,0.9996,0.992,4e-04,0,2411,0.0664415329700917,0.0937966836873036,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"17",0.0024,0.0024,0.0016,0.0016,0.0016,0,2356,-0.0994574543736323,-0.0990210664029099,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"18",0.2144,0.1044,0.0444,0.1044,0.0444,0,2373,-0.0426957366043507,-0.0584584106255052,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"19",0.5096,0.6568,0.7872,0.6536,0.2128,0,2377,0.0131078960975847,0.0266752427544777,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"20",0.6776,0.6484,0.6164,0.6436,0.3836,0,2396,0.00919566085045905,0.00742643000985427,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"21",0.2748,0.6456,0.9156,0.6432,0.0844,0,2390,0.0117009538016232,0.0421860922702287,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"22",0.7524,0.7896,0.8204,0.79,0.1796,0,2372,0.0219673450642286,0.0250405983427183,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"23",0.1072,0.0492,0.0168,0.046,0.0168,0,2389,-0.0484095672802805,-0.0614516403917618,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"24",0.198,0.0808,0.0236,0.0768,0.0236,0,2336,-0.0515499916504541,-0.0725795049930254,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"25",0.9988,0.998,0.996,0.998,0.004,0,2418,0.0871649635008643,0.0821229635480537,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"26",0.904,0.9084,0.9204,0.9144,0.0796,0,2334,0.0398673970147486,0.0408520645915443,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"27",0,8e-04,0.0044,0,0.0044,0,2368,-0.103356919591631,-0.0827386688397814,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"28",0.0144,0.0792,0.2672,0.0832,0.2672,0,2364,-0.0387287033202033,-0.0178864440528843,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"29",0.0848,0.11,0.132,0.1068,0.132,0,2345,-0.036072445386577,-0.0324682493845122,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"30",0.0824,0.2464,0.512,0.2472,0.512,0,2289,-0.0218672990598405,0.00149466136573291,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"31",0.2696,0.1588,0.0816,0.1652,0.0816,0,2328,-0.0340560597001438,-0.0471558435172331,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"32",0.9996,0.9416,0.4744,0.9444,0.5256,0,2317,0.0458210835842053,-0.00133575153076267,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"33",0.706,0.5264,0.3272,0.5152,0.6728,0,2360,0.00182565427688896,-0.0135422463427632,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"34",0.6952,0.6576,0.6216,0.6608,0.3784,0,2404,0.011493984377309,0.00870782093456034,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"35",0.0104,0.0244,0.0532,0.0228,0.0532,0,2302,-0.0600342933543494,-0.0485683269184398,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"36",0,0.0132,0.194,0.0084,0.194,0,2340,-0.0692510067930756,-0.025452544798658,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"37",0.69,0.854,0.942,0.8512,0.058,0,2426,0.0345634419028524,0.0524949489910983,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"38",0.9892,0.974,0.9532,0.9776,0.0468,0,2346,0.0578687205195563,0.0484330607711164,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"39",0.0452,0.096,0.1812,0.0992,0.1812,0,2340,-0.0424130390541233,-0.0297962015527345,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"40",0.3904,0.5,0.5912,0.4868,0.5912,0,2379,-0.000617923315382829,0.00779987074341652,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"41",0.7324,0.912,0.9788,0.908,0.0212,0,2331,0.0438312703491217,0.0667912902659573,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"42",0.5772,0.5716,0.5528,0.5604,0.4472,0,2336,0.00562255654223863,0.00505773777959631,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"43",0.778,0.6588,0.5388,0.6668,0.4612,0,2383,0.0137854492061482,0.00272995642559061,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"44",0.9516,0.832,0.6048,0.8348,0.3952,0,2370,0.0308978489077057,0.00860340346026604,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"45",0.3148,0.312,0.3196,0.3236,0.3196,0,2408,-0.0116901736659062,-0.0120111062956329,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"46",0.8768,0.6112,0.2884,0.614,0.7116,0,2398,0.00900620737927976,-0.0176315731142871,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"47",0.0048,0.0116,0.0204,0.0076,0.0204,0,2373,-0.0721939607182095,-0.0626831490829493,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"48",0,8e-04,0.0088,0,0.0088,0,2309,-0.099789346391086,-0.0705434428027164,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"49",0.2164,0.1636,0.11,0.152,0.11,0,2384,-0.0322829273653261,-0.0393818946111546,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"50",0.1104,0.2448,0.4484,0.2512,0.4484,0,2383,-0.0229119670776552,-0.00448050504956172,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"51",0.0088,0.0356,0.1116,0.0312,0.1116,0,2363,-0.0563522504191675,-0.037208699767581,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"52",0.0024,0.02,0.1316,0.0216,0.1316,0,2290,-0.0724965890541434,-0.0407084301334341,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"53",0.4776,0.5356,0.6,0.54,0.4,0,2391,0.00304307328696114,0.00808041786526787,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"54",0,0,0,0,0,0,2296,-0.116969343187716,-0.112638129669926,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"55",0.2828,0.3,0.3228,0.302,0.3228,0,2405,-0.0151257287341705,-0.0135808581721632,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"56",0.804,0.8656,0.9088,0.8588,0.0912,0,2340,0.0325787349789645,0.0397615641494086,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"57",0.8524,0.7452,0.582,0.748,0.418,0,2389,0.0197837655783825,0.00753997896081478,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"58",0.05,0.1284,0.246,0.1288,0.246,0,2387,-0.0297594949589038,-0.0171422344710231,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"59",0.5412,0.368,0.2316,0.3672,0.2316,0,2396,-0.0114797991971169,-0.0261003849245258,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"60",0.9976,0.972,0.8568,0.9756,0.1432,0,2387,0.0616590262170223,0.0338290739286918,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"61",0.9972,0.9792,0.9388,0.984,0.0612,0,2428,0.0636514832693443,0.0461961426680657,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"62",0,0,4e-04,0,4e-04,0,2393,-0.12164605632604,-0.107588836519097,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"63",0.1408,0.072,0.0324,0.0748,0.0324,0,2425,-0.0399548656392749,-0.0502366508189641,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"64",0,0,0,0,0,0,2303,-0.143102012814487,-0.140001056838784,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"65",0.0028,0.016,0.0448,0.0092,0.0448,0,2393,-0.0674750280802185,-0.0479683167015185,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"66",0.854,0.7516,0.6268,0.7544,0.3732,0,2349,0.0162606097953994,0.00714796599181845,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"67",0.0252,0.0808,0.1816,0.0732,0.1816,0,2449,-0.0398210526665042,-0.0252827224532443,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"68",0.0296,0.1112,0.3112,0.1196,0.3112,0,2323,-0.0395908742629273,-0.0170171545035765,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"69",0.9836,0.9804,0.9764,0.9804,0.0236,0,2371,0.0697875898208221,0.0668296829547156,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"70",0.3508,0.3224,0.2916,0.32,0.2916,0,2336,-0.0135383985892769,-0.0154057202270706,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"71",0.6428,0.316,0.1036,0.3188,0.1036,0,2364,-0.0139725299729051,-0.0386425890878541,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"72",0.3568,0.4992,0.6372,0.4916,0.6372,0,2412,-0.000357065795908939,0.0104960267086771,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"73",0.0992,0.1956,0.37,0.1976,0.37,0,2338,-0.0276552134231866,-0.0120140609546613,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"74",0.932,0.8016,0.5836,0.7932,0.4164,0,2350,0.023950230774397,0.00635628241867179,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"75",0.998,0.998,0.9988,0.9996,0.0012,0,2308,0.0988389391153294,0.095914143754749,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"76",0.5792,0.6576,0.7164,0.6532,0.2836,0,2394,0.00974353707152243,0.0147963501515677,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"77",0.2616,0.168,0.0996,0.168,0.0996,0,2390,-0.026423580210391,-0.0346756328454322,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"78",0.0012,0.0044,0.0208,0.0028,0.0208,0,2377,-0.0874659645012075,-0.0679032778499665,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
"79",0.2572,0.2656,0.2876,0.2792,0.2876,0,2392,-0.0201492681609445,-0.0192239075334403,100,0,0.8,0,24,10,2500,500,"bobyqa","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/","pmjob_14",0.2
