"","p_c_ab","p_c_mean","p_neg_c_ab","p_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","mean_ab_perm","J","a","b","c_p","mc.cores","n_j","nperms","nreps","optimizer","permtype","reform","save_dir","simulation_name","theta_ab"
"1",0.91,0.8868,0.8632,0.8884,0.1368,0,0,0.0133338272624078,0.0120025226854803,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"2",0.8604,0.9436,0.9896,0.9552,0.0104,0,10,0.0236817441987164,0.0318889575734825,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"3",0.026,0.108,0.326,0.1064,0.326,0,188,-0.0143611172504029,-0.00548555564089162,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"4",0.014,0.0644,0.2024,0.0532,0.2024,0,5,-0.01574870175877,-0.00871429129466579,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"5",0.0624,0.1608,0.3068,0.1512,0.3068,0,0,-0.0126228160602353,-0.00634438783663849,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"6",0.0748,0.2296,0.532,0.2348,0.532,0,0,-0.00563137234255314,0.000514838433387633,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"7",0.7924,0.8172,0.8324,0.8052,0.1676,0,0,0.00829847456240723,0.00925589128558466,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"8",0.168,0.094,0.0424,0.09,0.0424,0,2,-0.0114172571142496,-0.0147161618836059,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"9",4e-04,0.0044,0.0108,0.0012,0.0108,0,0,-0.0307080726039261,-0.023917799331331,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"10",8e-04,0.0612,0.4264,0.0508,0.4264,0,0,-0.0156011802620119,-0.00181530434828103,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"11",0.762,0.6736,0.586,0.6768,0.414,0,0,0.00641383279037683,0.00298659779540535,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"12",0.9532,0.9788,0.994,0.9804,0.006,0,0,0.0213186809128551,0.0249427384653245,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"13",0.9604,0.9008,0.7888,0.9116,0.2112,0,0,0.00974575952905872,0.00588489758092404,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"14",0.1872,0.4332,0.6832,0.4108,0.6832,0,1,-0.00148651978115555,0.00376406345304819,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"15",0.086,0.3772,0.7604,0.3708,0.7604,0,0,-0.00241377993957001,0.00521297339064773,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"16",0,0.002,0.1644,0.002,0.1644,0,0,-0.0402924801786836,-0.0133300713906313,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"17",0.924,0.8768,0.8108,0.8728,0.1892,0,0,0.013668855053476,0.0103070869115801,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"18",0.8716,0.7676,0.6452,0.7652,0.3548,0,0,0.00868497424141371,0.00424392722701802,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"19",0.9944,0.9688,0.8088,0.9764,0.1912,0,0,0.0225585075295042,0.0102006224932589,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"20",0.0064,0.0144,0.0248,0.0104,0.0248,0,1,-0.0286450489943803,-0.0244395985758195,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"21",0.9732,0.9568,0.9412,0.9628,0.0588,0,9,0.0184883760317516,0.0162207048808994,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"22",0.1808,0.2416,0.3188,0.2388,0.3188,0,0,-0.00660663574233252,-0.00470950721660495,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"23",1,0.9988,0.9888,0.9996,0.0112,0,0,0.0430729031914129,0.0304440649069359,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"24",0.9268,0.7552,0.472,0.762,0.528,0,0,0.00979335983008124,-0.000767515252438095,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"25",1,1,1,1,0,0,4,0.0469106126119653,0.0476619837819707,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"26",0.1932,0.4116,0.6464,0.3956,0.6464,0,0,-0.00242729514129414,0.00410984757597946,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"27",0.5312,0.322,0.1608,0.322,0.1608,0,0,-0.00458176601616581,-0.0100551271770726,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"28",0.9564,0.8852,0.7392,0.8804,0.2608,0,0,0.0118211739156932,0.00652640783290123,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"29",0.7968,0.6488,0.4548,0.6432,0.5452,0,0,0.00414473210658563,-0.00116573135283276,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"30",0.6984,0.5312,0.3592,0.5268,0.6408,0,0,0.000604408205552007,-0.00285535130957249,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"31",0.94,0.8384,0.6568,0.8356,0.3432,0,41,0.0132938582435615,0.00543439662258869,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"32",0.0428,0.106,0.212,0.1076,0.212,0,0,-0.0134732612033048,-0.0085149176753802,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"33",0.1292,0.034,0,0.0196,0,0,4,-0.0181737908988224,-0.0258831384390696,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"34",0.0348,0.0788,0.1736,0.0816,0.1736,0,0,-0.0179212935065459,-0.0117705218071406,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"35",0.9996,0.9968,0.988,0.9992,0.012,0,84,0.0243244378460617,0.0172115892862837,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"36",0.4352,0.466,0.4908,0.4632,0.4908,0,0,-0.00104350836595937,-0.000293138763453281,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"37",1,0.9824,0.7248,0.9868,0.2752,0,0,0.0227678790566033,0.00626928357675666,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"38",0.1808,0.2644,0.3916,0.2784,0.3916,0,0,-0.00559428176115013,-0.00283583739214251,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"39",0.6672,0.4556,0.2608,0.4544,0.2608,0,5,-0.00127843405235663,-0.00763511502515061,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"40",0.9912,0.9852,0.9872,0.992,0.0128,0,4,0.0250848599248495,0.0234452676911228,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"41",0.0148,0.0352,0.0744,0.0284,0.0744,0,6,-0.015641172000734,-0.0118183004410071,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"42",0.9788,0.9468,0.8608,0.9432,0.1392,0,0,0.0191101688256133,0.0131881809351774,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"43",0.1084,0.0684,0.0344,0.0604,0.0344,0,0,-0.0172469334328182,-0.0204997052785322,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
"44",0.9792,0.8556,0.474,0.846,0.526,0,4,0.00739075067965452,-0.00039768529717052,100,0.2,0,0.8,24,10,2500,500,"bobyqa","between_within","NULL","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/permediatr/between_within/","pmjob_bw_06",0.2
